file,File,for loops,while loops,do-while loops,total loops,total nodes,File,for/loops,while/loops,do-while/loops,total/loops,total/nodes
modules/godot_physics_3d/joints/godot_pin_joint_3d.c,modules/godot_physics_3d/joints/godot_pin_joint_3d.c,0,4,12,16,16740,modules/godot_physics_3d/joints/godot_pin_joint_3d.c,2,4,12,18,16523
thirdparty/icu4c/common/utrie.c,thirdparty/icu4c/common/utrie.c,5,6,31,42,14380,thirdparty/icu4c/common/utrie.c,19,6,31,56,13641
servers/rendering/renderer_rd/storage_rd/texture_storage.c,servers/rendering/renderer_rd/storage_rd/texture_storage.c,6,66,183,255,296179,servers/rendering/renderer_rd/storage_rd/texture_storage.c,30,66,182,278,293567
scene/animation/animation_mixer.c,scene/animation/animation_mixer.c,20,114,175,309,492276,scene/animation/animation_mixer.c,20,114,175,309,492276
editor/project_manager.c,editor/project_manager.c,23,43,115,181,254751,editor/project_manager.c,23,43,115,181,254751
editor/import/audio_stream_import_settings.c,editor/import/audio_stream_import_settings.c,22,11,38,71,124835,editor/import/audio_stream_import_settings.c,22,11,38,71,124835
thirdparty/basis_universal/transcoder/basisu_transcoder.c,thirdparty/basis_universal/transcoder/basisu_transcoder.c,27,71,509,607,302705,thirdparty/basis_universal/transcoder/basisu_transcoder.c,48,50,405,503,245620
drivers/gles3/storage/texture_storage.c,drivers/gles3/storage/texture_storage.c,4,35,114,153,262929,drivers/gles3/storage/texture_storage.c,19,35,113,167,261469
thirdparty/vhacd/src/vhacdvolume.c,thirdparty/vhacd/src/vhacdVolume.c,2,11,93,106,91643,thirdparty/vhacd/src/vhacdVolume.c,7,11,93,111,91237
thirdparty/embree/kernels/bvh/bvh_builder_sah.c,thirdparty/embree/kernels/bvh/bvh_builder_sah.c,8,24,35,67,75864,thirdparty/embree/kernels/bvh/bvh_builder_sah.c,41,24,35,100,74943
thirdparty/zlib/inflate.c,thirdparty/zlib/inflate.c,9,5,19,33,25477,thirdparty/zlib/inflate.c,9,5,19,33,25477
modules/openxr/editor/openxr_action_map_editor.c,modules/openxr/editor/openxr_action_map_editor.c,19,18,38,75,140590,modules/openxr/editor/openxr_action_map_editor.c,19,18,38,75,140590
modules/multiplayer/multiplayer_spawner.c,modules/multiplayer/multiplayer_spawner.c,5,18,35,58,132594,modules/multiplayer/multiplayer_spawner.c,7,18,35,60,131266
modules/noise/noise.c,modules/noise/noise.c,5,9,61,75,114738,modules/noise/noise.c,14,9,61,84,113689
thirdparty/zstd/common/xxhash.c,thirdparty/zstd/common/xxhash.c,1,0,8,9,6082,thirdparty/zstd/common/xxhash.c,2,0,8,10,6026
thirdparty/glslang/glslang/machineindependent/scan.c,thirdparty/glslang/glslang/MachineIndependent/Scan.c,2,22,38,62,137741,thirdparty/glslang/glslang/MachineIndependent/Scan.c,2,22,38,62,137502
servers/rendering/rendering_server_default.c,servers/rendering/rendering_server_default.c,5,3,96,104,740460,servers/rendering/rendering_server_default.c,5,3,96,104,740460
thirdparty/zstd/compress/zstd_compress.c,thirdparty/zstd/compress/zstd_compress.c,32,12,35,79,108066,thirdparty/zstd/compress/zstd_compress.c,48,12,35,95,104987
modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,11,11,36,58,63628,modules/gltf/editor/editor_scene_exporter_gltf_plugin.c,12,11,36,59,63005
thirdparty/harfbuzz/src/hb-subset-plan.c,thirdparty/harfbuzz/src/hb-subset-plan.c,39,184,618,841,581454,thirdparty/harfbuzz/src/hb-subset-plan.c,83,184,618,885,574274
thirdparty/meshoptimizer/vertexcodec.c,thirdparty/meshoptimizer/vertexcodec.c,1,4,16,21,19494,thirdparty/meshoptimizer/vertexcodec.c,13,4,16,33,17650
servers/rendering/shader_language.c,servers/rendering/shader_language.c,30,177,536,743,784187,servers/rendering/shader_language.c,57,178,531,766,777436
editor/import/resource_importer_layered_texture.c,editor/import/resource_importer_layered_texture.c,8,15,41,64,96539,editor/import/resource_importer_layered_texture.c,9,15,41,65,95965
thirdparty/icu4c/common/uloc.c,thirdparty/icu4c/common/uloc.c,2,15,24,41,37358,thirdparty/icu4c/common/uloc.c,16,15,25,56,36330
editor/editor_layouts_dialog.c,editor/editor_layouts_dialog.c,17,6,25,48,68786,editor/editor_layouts_dialog.c,17,6,25,48,68786
scene/resources/curve.c,scene/resources/curve.c,12,14,133,159,521610,scene/resources/curve.c,12,14,133,159,521610
scene/gui/line_edit.c,scene/gui/line_edit.c,12,10,46,68,370925,scene/gui/line_edit.c,15,10,45,70,367209
core/variant/variant_call.c,core/variant/variant_call.c,4,119,1247,1370,2154589,core/variant/variant_call.c,6,119,1248,1373,2145935
editor/editor_properties_array_dict.c,editor/editor_properties_array_dict.c,27,55,155,237,279207,editor/editor_properties_array_dict.c,27,55,155,237,279207
editor/groups_editor.c,editor/groups_editor.c,17,40,115,172,203717,editor/groups_editor.c,17,40,115,172,203717
scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,12,4,31,47,203400,scene/3d/voxel_gi.c,14,4,29,47,200560
scene/2d/marker_2d.c,scene/2d/marker_2d.c,5,0,10,15,35259,scene/2d/marker_2d.c,6,0,10,16,35109
thirdparty/freetype/src/sdf/sdf.c,thirdparty/freetype/src/sdf/sdf.c,2,5,36,43,27318,thirdparty/freetype/src/sdf/sdf.c,4,5,36,45,27182
core/math/geometry_3d.c,core/math/geometry_3d.c,2,13,68,83,43832,core/math/geometry_3d.c,3,13,68,84,43651
thirdparty/manifold/src/boolean_result.c,thirdparty/manifold/src/boolean_result.c,10,29,77,116,91503,thirdparty/manifold/src/boolean_result.c,10,29,77,116,91503
editor/plugins/editor_debugger_plugin.c,editor/plugins/editor_debugger_plugin.c,5,15,43,63,133305,editor/plugins/editor_debugger_plugin.c,5,15,43,63,133156
thirdparty/mbedtls/library/ecjpake.c,thirdparty/mbedtls/library/ecjpake.c,1,0,3,4,8283,thirdparty/mbedtls/library/ecjpake.c,5,0,3,8,8028
editor/plugins/text_editor.c,editor/plugins/text_editor.c,17,9,21,47,103221,editor/plugins/text_editor.c,23,9,21,53,101984
thirdparty/jolt_physics/jolt/physics/constraints/gearconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/GearConstraint.c,1,0,2,3,19292,thirdparty/jolt_physics/Jolt/Physics/Constraints/GearConstraint.c,1,0,2,3,19292
modules/gltf/gltf_document.c,modules/gltf/gltf_document.c,111,133,448,692,1113994,modules/gltf/gltf_document.c,115,131,442,688,1042257
thirdparty/basis_universal/encoder/pvpngreader.c,thirdparty/basis_universal/encoder/pvpngreader.c,5,11,106,122,40921,thirdparty/basis_universal/encoder/pvpngreader.c,8,11,106,125,40688
thirdparty/pcre2/src/pcre2_compile_16.c,thirdparty/pcre2/src/pcre2_compile_16.c,4,28,58,90,96506,thirdparty/pcre2/src/pcre2_compile_16.c,3,23,51,77,95825
scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,7,10,25,42,265701,scene/3d/gpu_particles_3d.c,11,10,25,46,258840
thirdparty/icu4c/common/utext.c,thirdparty/icu4c/common/utext.c,2,4,15,21,36869,thirdparty/icu4c/common/utext.c,3,4,15,22,36044
servers/audio/audio_rb_resampler.c,servers/audio/audio_rb_resampler.c,0,0,8,8,5477,servers/audio/audio_rb_resampler.c,1,0,8,9,5444
thirdparty/jolt_physics/jolt/physics/collision/estimatecollisionresponse.c,thirdparty/jolt_physics/Jolt/Physics/Collision/EstimateCollisionResponse.c,0,0,5,5,11384,thirdparty/jolt_physics/Jolt/Physics/Collision/EstimateCollisionResponse.c,2,0,5,7,11195
thirdparty/miniupnpc/src/miniupnpc.c,thirdparty/miniupnpc/src/miniupnpc.c,7,6,10,23,9797,thirdparty/miniupnpc/src/miniupnpc.c,8,6,10,24,9718
core/object/object.c,core/object/object.c,17,46,127,190,400040,core/object/object.c,23,46,127,196,397990
scene/debugger/scene_debugger.c,scene/debugger/scene_debugger.c,15,67,161,243,266980,scene/debugger/scene_debugger.c,22,66,160,248,263393
modules/godot_physics_3d/joints/godot_hinge_joint_3d.c,modules/godot_physics_3d/joints/godot_hinge_joint_3d.c,0,4,15,19,35035,modules/godot_physics_3d/joints/godot_hinge_joint_3d.c,6,4,15,25,34494
thirdparty/vhacd/src/vhacdmanifoldmesh.c,thirdparty/vhacd/src/vhacdManifoldMesh.c,0,24,19,43,12040,thirdparty/vhacd/src/vhacdManifoldMesh.c,1,24,19,44,12005
thirdparty/libwebp/src/dsp/lossless_enc.c,thirdparty/libwebp/src/dsp/lossless_enc.c,12,2,33,47,15799,thirdparty/libwebp/src/dsp/lossless_enc.c,18,2,33,53,14905
modules/lightmapper_rd/lightmapper_rd.c,modules/lightmapper_rd/lightmapper_rd.c,18,86,237,341,345505,modules/lightmapper_rd/lightmapper_rd.c,30,86,237,353,341513
thirdparty/basis_universal/encoder/basisu_enc.c,thirdparty/basis_universal/encoder/basisu_enc.c,14,26,216,256,109346,thirdparty/basis_universal/encoder/basisu_enc.c,26,25,215,266,106736
thirdparty/harfbuzz/src/hb-ot-cff1-table.c,thirdparty/harfbuzz/src/hb-ot-cff1-table.c,2,8,42,52,91862,thirdparty/harfbuzz/src/hb-ot-cff1-table.c,4,8,42,54,91798
servers/audio/effects/audio_effect_phaser.c,servers/audio/effects/audio_effect_phaser.c,9,0,20,29,56350,servers/audio/effects/audio_effect_phaser.c,10,0,20,30,55919
servers/rendering/dummy/storage/material_storage.c,servers/rendering/dummy/storage/material_storage.c,0,44,129,173,105927,servers/rendering/dummy/storage/material_storage.c,2,44,129,175,105306
thirdparty/misc/smolv.c,thirdparty/misc/smolv.c,7,6,70,83,32974,thirdparty/misc/smolv.c,8,6,70,84,32866
modules/interactive_music/editor/audio_stream_interactive_editor_plugin.c,modules/interactive_music/editor/audio_stream_interactive_editor_plugin.c,19,11,32,62,113919,modules/interactive_music/editor/audio_stream_interactive_editor_plugin.c,19,11,32,62,113919
servers/rendering/renderer_rd/environment/gi.c,servers/rendering/renderer_rd/environment/gi.c,17,27,147,191,299761,servers/rendering/renderer_rd/environment/gi.c,23,26,138,187,294351
scene/gui/graph_element.c,scene/gui/graph_element.c,5,2,14,21,65641,scene/gui/graph_element.c,7,2,13,22,64726
thirdparty/libwebp/src/enc/vp8l_enc.c,thirdparty/libwebp/src/enc/vp8l_enc.c,13,5,37,55,29340,thirdparty/libwebp/src/enc/vp8l_enc.c,18,5,37,60,29291
platform/linuxbsd/joypad_linux.c,platform/linuxbsd/joypad_linux.c,8,6,24,38,24134,platform/linuxbsd/joypad_linux.c,13,6,24,43,22714
editor/fbx_importer_manager.c,editor/fbx_importer_manager.c,13,4,17,34,56551,editor/fbx_importer_manager.c,19,4,16,39,55817
scene/gui/texture_progress_bar.c,scene/gui/texture_progress_bar.c,6,5,15,26,149341,scene/gui/texture_progress_bar.c,8,5,15,28,148404
thirdparty/mbedtls/library/ecp.c,thirdparty/mbedtls/library/ecp.c,0,25,34,59,25871,thirdparty/mbedtls/library/ecp.c,5,25,34,64,25120
thirdparty/graphite/src/face.c,thirdparty/graphite/src/Face.c,0,0,8,8,7046,thirdparty/graphite/src/Face.c,2,0,8,10,6923
editor/gui/editor_version_button.c,editor/gui/editor_version_button.c,7,0,9,16,28291,editor/gui/editor_version_button.c,9,0,9,18,28164
thirdparty/glslang/glslang/machineindependent/preprocessor/ppcontext.c,thirdparty/glslang/glslang/MachineIndependent/preprocessor/PpContext.c,9,0,3,12,6322,thirdparty/glslang/glslang/MachineIndependent/preprocessor/PpContext.c,13,0,3,16,6057
core/extension/extension_api_dump.c,core/extension/extension_api_dump.c,39,35,158,232,217040,core/extension/extension_api_dump.c,42,35,158,235,215994
scene/3d/soft_body_3d.c,scene/3d/soft_body_3d.c,9,17,57,83,212487,scene/3d/soft_body_3d.c,12,17,57,86,211595
thirdparty/miniupnpc/src/miniwget.c,thirdparty/miniupnpc/src/miniwget.c,0,7,8,15,6575,thirdparty/miniupnpc/src/miniwget.c,1,7,8,16,6559
thirdparty/jolt_physics/jolt/trianglesplitter/trianglesplitterlongestaxis.c,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterLongestAxis.c,0,0,2,2,1713,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterLongestAxis.c,1,0,2,3,1692
thirdparty/astcenc/astcenc_decompress_symbolic.c,thirdparty/astcenc/astcenc_decompress_symbolic.c,0,1,11,12,16300,thirdparty/astcenc/astcenc_decompress_symbolic.c,2,1,11,14,16236
modules/ogg/register_types.c,modules/ogg/register_types.c,4,0,9,13,20534,modules/ogg/register_types.c,5,0,9,14,20380
thirdparty/pcre2/src/pcre2_match_16.c,thirdparty/pcre2/src/pcre2_match_16.c,8,20,124,152,111422,thirdparty/pcre2/src/pcre2_match_16.c,11,20,124,155,111431
scene/3d/skeleton_ik_3d.c,scene/3d/skeleton_ik_3d.c,5,4,20,29,153083,scene/3d/skeleton_ik_3d.c,7,4,20,31,152483
modules/openxr/editor/openxr_action_editor.c,modules/openxr/editor/openxr_action_editor.c,8,6,15,29,55120,modules/openxr/editor/openxr_action_editor.c,8,6,15,29,55112
thirdparty/recastnavigation/recast/source/recast.c,thirdparty/recastnavigation/Recast/Source/Recast.c,2,2,14,18,10028,thirdparty/recastnavigation/Recast/Source/Recast.c,8,2,14,24,9715
thirdparty/jpeg-compressor/jpge.c,thirdparty/jpeg-compressor/jpge.c,9,8,55,72,57265,thirdparty/jpeg-compressor/jpge.c,15,8,55,78,54968
thirdparty/libwebp/src/dsp/cost_sse2.c,thirdparty/libwebp/src/dsp/cost_sse2.c,1,0,1,2,4374,thirdparty/libwebp/src/dsp/cost_sse2.c,2,0,1,3,3991
thirdparty/thorvg/src/renderer/sw_engine/tvgswmempool.c,thirdparty/thorvg/src/renderer/sw_engine/tvgSwMemPool.c,0,0,1,1,2030,thirdparty/thorvg/src/renderer/sw_engine/tvgSwMemPool.c,5,0,1,6,1676
thirdparty/embree/kernels/common/acceln.c,thirdparty/embree/kernels/common/acceln.c,0,0,16,16,29872,thirdparty/embree/kernels/common/acceln.c,0,0,16,16,29872
scene/gui/scroll_container.c,scene/gui/scroll_container.c,13,8,21,42,140392,scene/gui/scroll_container.c,13,8,21,42,140352
thirdparty/jolt_physics/jolt/physics/collision/shape/triangleshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/TriangleShape.c,0,0,5,5,32724,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/TriangleShape.c,0,0,5,5,32724
thirdparty/embree/kernels/common/rtcore_builder.c,thirdparty/embree/kernels/common/rtcore_builder.c,41,83,176,300,526831,thirdparty/embree/kernels/common/rtcore_builder.c,41,83,176,300,526831
editor/plugins/shader_file_editor_plugin.c,editor/plugins/shader_file_editor_plugin.c,16,33,63,112,94566,editor/plugins/shader_file_editor_plugin.c,27,33,63,123,93786
modules/gdscript/language_server/gdscript_workspace.c,modules/gdscript/language_server/gdscript_workspace.c,14,32,128,174,222824,modules/gdscript/language_server/gdscript_workspace.c,15,32,128,175,222290
thirdparty/jolt_physics/jolt/physics/constraints/contactconstraintmanager.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/ContactConstraintManager.c,15,27,138,180,191881,thirdparty/jolt_physics/Jolt/Physics/Constraints/ContactConstraintManager.c,15,27,138,180,191881
scene/3d/occluder_instance_3d.c,scene/3d/occluder_instance_3d.c,16,9,49,74,222274,scene/3d/occluder_instance_3d.c,17,9,49,75,220970
editor/surface_upgrade_tool.c,editor/surface_upgrade_tool.c,11,7,17,35,55044,editor/surface_upgrade_tool.c,11,7,17,35,55022
modules/text_server_adv/thorvg_svg_in_ot.c,modules/text_server_adv/thorvg_svg_in_ot.c,3,10,39,52,61710,modules/text_server_adv/thorvg_svg_in_ot.c,5,10,39,54,61200
editor/editor_autoload_settings.c,editor/editor_autoload_settings.c,20,27,66,113,153418,editor/editor_autoload_settings.c,20,27,66,113,153418
modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,0,1,7,8,7895,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,1,1,7,9,7807
thirdparty/clipper2/src/clipper.rectclip.c,thirdparty/clipper2/src/clipper.rectclip.c,6,19,38,63,41517,thirdparty/clipper2/src/clipper.rectclip.c,8,19,38,65,41038
thirdparty/recastnavigation/recast/source/recastlayers.c,thirdparty/recastnavigation/Recast/Source/RecastLayers.c,5,1,33,39,10260,thirdparty/recastnavigation/Recast/Source/RecastLayers.c,6,1,33,40,10178
servers/register_server_types.c,servers/register_server_types.c,69,30,230,329,1076259,servers/register_server_types.c,75,30,230,335,1066687
thirdparty/icu4c/common/loclikelysubtags.c,thirdparty/icu4c/common/loclikelysubtags.c,4,4,14,22,28963,thirdparty/icu4c/common/loclikelysubtags.c,9,4,14,27,28204
editor/plugins/camera_3d_editor_plugin.c,editor/plugins/camera_3d_editor_plugin.c,15,8,13,36,65049,editor/plugins/camera_3d_editor_plugin.c,19,8,13,40,64275
servers/rendering/renderer_rd/renderer_canvas_render_rd.c,servers/rendering/renderer_rd/renderer_canvas_render_rd.c,7,47,190,244,301249,servers/rendering/renderer_rd/renderer_canvas_render_rd.c,7,47,190,244,301249
core/config/project_settings.c,core/config/project_settings.c,31,81,219,331,404448,core/config/project_settings.c,41,81,219,341,402131
modules/navigation/nav_map.c,modules/navigation/nav_map.c,9,18,75,102,61705,modules/navigation/nav_map.c,17,18,68,103,61087
editor/progress_dialog.c,editor/progress_dialog.c,13,14,31,58,72524,editor/progress_dialog.c,23,14,31,68,71330
core/io/file_access_zip.c,core/io/file_access_zip.c,3,5,20,28,33948,core/io/file_access_zip.c,4,5,20,29,33514
thirdparty/mbedtls/library/ccm.c,thirdparty/mbedtls/library/ccm.c,2,2,9,13,8089,thirdparty/mbedtls/library/ccm.c,4,2,9,15,8016
modules/openxr/openxr_interface.c,modules/openxr/openxr_interface.c,19,11,38,68,246537,modules/openxr/openxr_interface.c,19,11,38,68,246537
thirdparty/harfbuzz/src/hb-buffer.c,thirdparty/harfbuzz/src/hb-buffer.c,5,10,74,89,41411,thirdparty/harfbuzz/src/hb-buffer.c,7,10,74,91,41164
thirdparty/libwebp/src/enc/syntax_enc.c,thirdparty/libwebp/src/enc/syntax_enc.c,0,1,7,8,4760,thirdparty/libwebp/src/enc/syntax_enc.c,1,1,7,9,4632
thirdparty/libwebp/src/demux/anim_decode.c,thirdparty/libwebp/src/demux/anim_decode.c,0,0,5,5,4725,thirdparty/libwebp/src/demux/anim_decode.c,2,0,5,7,4538
editor/directory_create_dialog.c,editor/directory_create_dialog.c,12,4,21,37,60933,editor/directory_create_dialog.c,19,4,21,44,60396
servers/rendering/renderer_rd/effects/bokeh_dof.c,servers/rendering/renderer_rd/effects/bokeh_dof.c,2,11,71,84,70088,servers/rendering/renderer_rd/effects/bokeh_dof.c,3,11,71,85,69897
thirdparty/jolt_physics/jolt/physics/constraints/coneconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/ConeConstraint.c,0,0,8,8,44583,thirdparty/jolt_physics/Jolt/Physics/Constraints/ConeConstraint.c,0,0,8,8,44583
modules/navigation/editor/navigation_mesh_editor_plugin.c,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15,39375,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15,39367
thirdparty/basis_universal/encoder/basisu_uastc_enc.c,thirdparty/basis_universal/encoder/basisu_uastc_enc.c,28,33,146,207,322228,thirdparty/basis_universal/encoder/basisu_uastc_enc.c,49,33,146,228,320343
editor/import/3d/editor_import_collada.c,editor/import/3d/editor_import_collada.c,27,72,406,505,476868,editor/import/3d/editor_import_collada.c,41,68,397,506,449536
thirdparty/jolt_physics/jolt/physics/physicssystem.c,thirdparty/jolt_physics/Jolt/Physics/PhysicsSystem.c,22,25,98,145,155482,thirdparty/jolt_physics/Jolt/Physics/PhysicsSystem.c,37,25,98,160,153970
thirdparty/icu4c/common/ubidi.c,thirdparty/icu4c/common/ubidi.c,3,6,57,66,39734,thirdparty/icu4c/common/ubidi.c,4,6,57,67,39529
editor/plugins/input_event_editor_plugin.c,editor/plugins/input_event_editor_plugin.c,15,2,6,23,51205,editor/plugins/input_event_editor_plugin.c,19,2,6,27,50414
editor/plugins/bone_map_editor_plugin.c,editor/plugins/bone_map_editor_plugin.c,27,36,86,149,226742,editor/plugins/bone_map_editor_plugin.c,27,36,86,149,226742
editor/plugins/animation_blend_tree_editor_plugin.c,editor/plugins/animation_blend_tree_editor_plugin.c,35,52,121,208,279296,editor/plugins/animation_blend_tree_editor_plugin.c,35,52,121,208,279296
scene/gui/menu_bar.c,scene/gui/menu_bar.c,10,15,32,57,218123,scene/gui/menu_bar.c,9,15,30,54,213497
editor/plugins/animation_tree_editor_plugin.c,editor/plugins/animation_tree_editor_plugin.c,13,13,16,42,62458,editor/plugins/animation_tree_editor_plugin.c,19,13,16,48,61873
modules/basis_universal/image_compress_basisu.c,modules/basis_universal/image_compress_basisu.c,14,3,33,50,27255,modules/basis_universal/image_compress_basisu.c,16,3,33,52,27049
editor/action_map_editor.c,editor/action_map_editor.c,15,21,48,84,119584,editor/action_map_editor.c,15,21,48,84,119584
editor/engine_update_label.c,editor/engine_update_label.c,7,3,22,32,54313,editor/engine_update_label.c,10,3,22,35,52102
modules/gdscript/register_types.c,modules/gdscript/register_types.c,8,0,7,15,46116,modules/gdscript/register_types.c,11,0,7,18,44994
editor/plugins/tiles/tile_proxies_manager_dialog.c,editor/plugins/tiles/tile_proxies_manager_dialog.c,13,10,55,78,108725,editor/plugins/tiles/tile_proxies_manager_dialog.c,26,10,55,91,106360
servers/rendering/renderer_rd/storage_rd/utilities.c,servers/rendering/renderer_rd/storage_rd/utilities.c,0,6,14,20,35038,servers/rendering/renderer_rd/storage_rd/utilities.c,5,6,14,25,34646
modules/cvtt/image_compress_cvtt.c,modules/cvtt/image_compress_cvtt.c,2,0,13,15,12092,modules/cvtt/image_compress_cvtt.c,3,0,13,16,11940
thirdparty/icu4c/common/udataswp.c,thirdparty/icu4c/common/udataswp.c,1,0,5,6,5365,thirdparty/icu4c/common/udataswp.c,3,0,5,8,5225
servers/physics_server_2d.c,servers/physics_server_2d.c,12,14,72,98,860221,servers/physics_server_2d.c,14,14,72,100,857761
modules/mbedtls/crypto_mbedtls.c,modules/mbedtls/crypto_mbedtls.c,9,0,19,28,67653,modules/mbedtls/crypto_mbedtls.c,11,0,19,30,67070
editor/export/editor_export_platform.c,editor/export/editor_export_platform.c,34,56,151,241,449993,editor/export/editor_export_platform.c,37,50,147,234,435356
thirdparty/glslang/glslang/machineindependent/intermediate.c,thirdparty/glslang/glslang/MachineIndependent/Intermediate.c,17,5,48,70,226420,thirdparty/glslang/glslang/MachineIndependent/Intermediate.c,19,5,38,62,192228
thirdparty/libwebp/src/dsp/dec.c,thirdparty/libwebp/src/dsp/dec.c,0,5,41,46,30769,thirdparty/libwebp/src/dsp/dec.c,15,5,41,61,30673
editor/plugins/abstract_polygon_2d_editor.c,editor/plugins/abstract_polygon_2d_editor.c,10,8,16,34,77585,editor/plugins/abstract_polygon_2d_editor.c,10,8,16,34,77585
scene/resources/font.c,scene/resources/font.c,21,57,144,222,1384417,scene/resources/font.c,38,56,144,238,1374461
editor/plugins/gradient_editor_plugin.c,editor/plugins/gradient_editor_plugin.c,19,21,34,74,119821,editor/plugins/gradient_editor_plugin.c,19,21,34,74,119821
scene/resources/animation.c,scene/resources/animation.c,41,168,404,613,1001560,scene/resources/animation.c,60,165,403,628,997849
thirdparty/glslang/glslang/machineindependent/spirvintrinsics.c,thirdparty/glslang/glslang/MachineIndependent/SpirvIntrinsics.c,26,15,51,92,116927,thirdparty/glslang/glslang/MachineIndependent/SpirvIntrinsics.c,28,15,48,91,112010
editor/import/resource_importer_texture.c,editor/import/resource_importer_texture.c,9,4,32,45,87472,editor/import/resource_importer_texture.c,10,4,32,46,86872
scene/resources/immediate_mesh.c,scene/resources/immediate_mesh.c,10,2,27,39,83618,scene/resources/immediate_mesh.c,12,2,27,41,82830
thirdparty/glslang/glslang/machineindependent/intermtraverse.c,thirdparty/glslang/glslang/MachineIndependent/IntermTraverse.c,0,0,9,9,16930,thirdparty/glslang/glslang/MachineIndependent/IntermTraverse.c,1,0,9,10,16648
thirdparty/freetype/src/base/ftbase.c,thirdparty/freetype/src/base/ftbase.c,25,26,58,109,108110,thirdparty/freetype/src/base/ftbase.c,31,26,58,115,107219
scene/gui/video_stream_player.c,scene/gui/video_stream_player.c,5,4,20,29,126455,scene/gui/video_stream_player.c,6,4,20,30,125814
scene/gui/box_container.c,scene/gui/box_container.c,7,6,16,29,67503,scene/gui/box_container.c,11,6,16,33,67133
thirdparty/glslang/spirv/spvbuilder.c,thirdparty/glslang/SPIRV/SpvBuilder.c,13,141,157,311,343195,thirdparty/glslang/SPIRV/SpvBuilder.c,28,141,153,322,339566
thirdparty/mbedtls/library/nist_kw.c,thirdparty/mbedtls/library/nist_kw.c,2,1,6,9,4636,thirdparty/mbedtls/library/nist_kw.c,3,1,6,10,4483
thirdparty/freetype/src/truetype/truetype.c,thirdparty/freetype/src/truetype/truetype.c,21,21,117,159,135617,thirdparty/freetype/src/truetype/truetype.c,26,21,117,164,134303
core/variant/variant_utility.c,core/variant/variant_utility.c,3,18,221,242,521684,core/variant/variant_utility.c,7,18,221,246,515616
thirdparty/freetype/src/type42/type42.c,thirdparty/freetype/src/type42/type42.c,1,3,12,16,19851,thirdparty/freetype/src/type42/type42.c,6,3,12,21,19154
core/object/message_queue.c,core/object/message_queue.c,3,15,42,60,46177,core/object/message_queue.c,4,15,42,61,45919
modules/godot_physics_3d/godot_step_3d.c,modules/godot_physics_3d/godot_step_3d.c,5,3,23,31,15898,modules/godot_physics_3d/godot_step_3d.c,6,3,22,31,15704
editor/gui/editor_run_bar.c,editor/gui/editor_run_bar.c,9,11,26,46,85999,editor/gui/editor_run_bar.c,9,11,26,46,85999
modules/openxr/openxr_api_extension.c,modules/openxr/openxr_api_extension.c,3,1,14,18,192832,modules/openxr/openxr_api_extension.c,5,1,14,20,192168
editor/debugger/editor_performance_profiler.c,editor/debugger/editor_performance_profiler.c,9,29,55,93,99581,editor/debugger/editor_performance_profiler.c,9,29,55,93,99581
thirdparty/mbedtls/library/chacha20.c,thirdparty/mbedtls/library/chacha20.c,0,0,6,6,4830,thirdparty/mbedtls/library/chacha20.c,1,0,6,7,4769
thirdparty/graphite/src/slot.c,thirdparty/graphite/src/Slot.c,2,2,7,11,18020,thirdparty/graphite/src/Slot.c,3,2,7,12,17920
scene/animation/animation_blend_tree.c,scene/animation/animation_blend_tree.c,21,31,99,151,438380,scene/animation/animation_blend_tree.c,22,31,97,150,433079
thirdparty/glslang/glslang/machineindependent/reflection.c,thirdparty/glslang/glslang/MachineIndependent/reflection.c,28,19,94,141,171588,thirdparty/glslang/glslang/MachineIndependent/reflection.c,30,13,64,107,136384
platform/web/export/editor_http_server.c,platform/web/export/editor_http_server.c,3,2,16,21,38608,platform/web/export/editor_http_server.c,5,2,16,23,37205
editor/editor_help.c,editor/editor_help.c,56,91,297,444,774273,editor/editor_help.c,56,91,297,444,774273
thirdparty/jolt_physics/jolt/renderer/debugrenderersimple.c,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererSimple.c,1,1,3,5,5322,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererSimple.c,2,1,3,6,5214
editor/dependency_editor.c,editor/dependency_editor.c,27,33,108,168,202342,editor/dependency_editor.c,27,33,108,168,202342
