file,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
editor/project_converter_3_to_4.c,editor/project_converter_3_to_4.c,31,32,149,63,editor/project_converter_3_to_4.c,29,32,149,210
drivers/unix/os_unix.c,drivers/unix/os_unix.c,5,9,27,14,drivers/unix/os_unix.c,6,9,27,42
thirdparty/glslang/glslang/machineindependent/parsecontextbase.c,thirdparty/glslang/glslang/MachineIndependent/ParseContextBase.c,5,16,46,21,thirdparty/glslang/glslang/MachineIndependent/ParseContextBase.c,12,16,39,67
modules/gdscript/register_types.c,modules/gdscript/register_types.c,8,0,7,8,modules/gdscript/register_types.c,8,0,7,15
thirdparty/libwebp/src/utils/palette.c,thirdparty/libwebp/src/utils/palette.c,3,5,17,8,thirdparty/libwebp/src/utils/palette.c,4,5,17,26
thirdparty/jolt_physics/jolt/physics/constraints/pointconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/PointConstraint.c,0,0,8,0,thirdparty/jolt_physics/Jolt/Physics/Constraints/PointConstraint.c,0,0,8,8
scene/resources/audio_stream_wav.c,scene/resources/audio_stream_wav.c,26,11,44,37,scene/resources/audio_stream_wav.c,27,11,44,82
servers/rendering/shader_compiler.c,servers/rendering/shader_compiler.c,22,74,197,96,servers/rendering/shader_compiler.c,25,74,197,296
thirdparty/icu4c/common/umutablecptrie.c,thirdparty/icu4c/common/umutablecptrie.c,3,41,67,44,thirdparty/icu4c/common/umutablecptrie.c,7,41,67,115
servers/rendering/renderer_rd/environment/fog.c,servers/rendering/renderer_rd/environment/fog.c,6,16,98,22,servers/rendering/renderer_rd/environment/fog.c,10,16,98,124
thirdparty/libwebp/src/dsp/cost_sse2.c,thirdparty/libwebp/src/dsp/cost_sse2.c,1,0,1,1,thirdparty/libwebp/src/dsp/cost_sse2.c,2,0,1,3
editor/editor_properties_array_dict.c,editor/editor_properties_array_dict.c,27,55,155,82,editor/editor_properties_array_dict.c,27,55,155,237
editor/plugins/bone_map_editor_plugin.c,editor/plugins/bone_map_editor_plugin.c,27,36,86,63,editor/plugins/bone_map_editor_plugin.c,27,36,86,149
thirdparty/jolt_physics/jolt/physics/vehicle/trackedvehiclecontroller.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/TrackedVehicleController.c,1,4,19,5,thirdparty/jolt_physics/Jolt/Physics/Vehicle/TrackedVehicleController.c,1,4,19,24
thirdparty/glslang/glslang/machineindependent/constant.c,thirdparty/glslang/glslang/MachineIndependent/Constant.c,12,9,66,21,thirdparty/glslang/glslang/MachineIndependent/Constant.c,28,9,66,103
editor/plugins/input_event_editor_plugin.c,editor/plugins/input_event_editor_plugin.c,15,2,6,17,editor/plugins/input_event_editor_plugin.c,15,2,6,23
scene/resources/theme.c,scene/resources/theme.c,32,107,243,139,scene/resources/theme.c,32,107,242,381
modules/multiplayer/multiplayer_debugger.c,modules/multiplayer/multiplayer_debugger.c,9,12,40,21,modules/multiplayer/multiplayer_debugger.c,13,12,40,65
servers/display/native_menu.c,servers/display/native_menu.c,2,1,27,3,servers/display/native_menu.c,3,1,27,31
thirdparty/libvorbis/info.c,thirdparty/libvorbis/info.c,0,3,28,3,thirdparty/libvorbis/info.c,3,3,28,34
modules/gltf/extensions/gltf_light.c,modules/gltf/extensions/gltf_light.c,5,1,8,6,modules/gltf/extensions/gltf_light.c,7,1,8,16
modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,0,1,7,1,modules/jolt_physics/shapes/jolt_convex_polygon_shape_3d.c,1,1,7,9
scene/resources/animation.c,scene/resources/animation.c,41,168,404,209,scene/resources/animation.c,60,166,403,629
scene/3d/physics/joints/generic_6dof_joint_3d.c,scene/3d/physics/joints/generic_6dof_joint_3d.c,5,0,31,5,scene/3d/physics/joints/generic_6dof_joint_3d.c,14,0,31,45
thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,44,108,230,152,thirdparty/embree/kernels/bvh/bvh_builder_twolevel.c,44,108,230,382
thirdparty/cvtt/convectionkernels_etc.c,thirdparty/cvtt/ConvectionKernels_ETC.c,3,18,161,21,thirdparty/cvtt/ConvectionKernels_ETC.c,3,18,161,182
scene/gui/center_container.c,scene/gui/center_container.c,7,1,9,8,scene/gui/center_container.c,9,1,9,19
modules/godot_physics_3d/godot_step_3d.c,modules/godot_physics_3d/godot_step_3d.c,5,3,23,8,modules/godot_physics_3d/godot_step_3d.c,6,3,22,31
core/math/convex_hull.c,core/math/convex_hull.c,2,31,63,33,core/math/convex_hull.c,11,31,61,103
thirdparty/libtheora/state.c,thirdparty/libtheora/state.c,1,6,29,7,thirdparty/libtheora/state.c,9,6,29,44
scene/animation/animation_player.c,scene/animation/animation_player.c,6,39,85,45,scene/animation/animation_player.c,6,39,85,130
editor/debugger/editor_debugger_inspector.c,editor/debugger/editor_debugger_inspector.c,11,11,63,22,editor/debugger/editor_debugger_inspector.c,11,11,63,85
scene/resources/3d/mesh_library.c,scene/resources/3d/mesh_library.c,37,35,36,72,scene/resources/3d/mesh_library.c,38,35,36,109
thirdparty/basis_universal/encoder/basisu_gpu_texture.c,thirdparty/basis_universal/encoder/basisu_gpu_texture.c,7,12,108,19,thirdparty/basis_universal/encoder/basisu_gpu_texture.c,8,12,108,128
editor/export/editor_export_platform_extension.c,editor/export/editor_export_platform_extension.c,4,3,34,7,editor/export/editor_export_platform_extension.c,5,3,34,42
scene/gui/grid_container.c,scene/gui/grid_container.c,12,26,46,38,scene/gui/grid_container.c,12,26,46,84
editor/plugins/line_2d_editor_plugin.c,editor/plugins/line_2d_editor_plugin.c,12,0,13,12,editor/plugins/line_2d_editor_plugin.c,12,0,13,25
editor/plugins/animation_state_machine_editor.c,editor/plugins/animation_state_machine_editor.c,29,54,125,83,editor/plugins/animation_state_machine_editor.c,29,54,125,208
thirdparty/harfbuzz/src/hb-ot-name.c,thirdparty/harfbuzz/src/hb-ot-name.c,0,20,27,20,thirdparty/harfbuzz/src/hb-ot-name.c,1,20,27,48
editor/editor_translation_parser.c,editor/editor_translation_parser.c,8,11,39,19,editor/editor_translation_parser.c,9,11,39,59
editor/gui/editor_quick_open_dialog.c,editor/gui/editor_quick_open_dialog.c,42,21,69,63,editor/gui/editor_quick_open_dialog.c,42,21,69,132
platform/linuxbsd/x11/gl_manager_x11.c,platform/linuxbsd/x11/gl_manager_x11.c,0,0,5,0,platform/linuxbsd/x11/gl_manager_x11.c,5,0,5,10
modules/gdscript/gdscript.c,modules/gdscript/gdscript.c,53,145,386,198,modules/gdscript/gdscript.c,53,145,386,584
modules/openxr/extensions/openxr_debug_utils_extension.c,modules/openxr/extensions/openxr_debug_utils_extension.c,0,3,7,3,modules/openxr/extensions/openxr_debug_utils_extension.c,2,3,7,12
scene/2d/physics/static_body_2d.c,scene/2d/physics/static_body_2d.c,13,4,20,17,scene/2d/physics/static_body_2d.c,13,4,20,37
thirdparty/glslang/glslang/machineindependent/symboltable.c,thirdparty/glslang/glslang/MachineIndependent/SymbolTable.c,43,19,85,62,thirdparty/glslang/glslang/MachineIndependent/SymbolTable.c,46,15,67,128
editor/progress_dialog.c,editor/progress_dialog.c,13,14,31,27,editor/progress_dialog.c,13,14,31,58
editor/plugins/editor_plugin_settings.c,editor/plugins/editor_plugin_settings.c,14,14,31,28,editor/plugins/editor_plugin_settings.c,14,14,31,59
scene/main/window.c,scene/main/window.c,11,95,243,106,scene/main/window.c,19,96,235,350
modules/godot_physics_3d/godot_body_3d.c,modules/godot_physics_3d/godot_body_3d.c,0,1,24,1,modules/godot_physics_3d/godot_body_3d.c,4,1,24,29
scene/2d/physics/joints/groove_joint_2d.c,scene/2d/physics/joints/groove_joint_2d.c,6,0,11,6,scene/2d/physics/joints/groove_joint_2d.c,8,0,11,19
thirdparty/zstd/compress/zstd_compress.c,thirdparty/zstd/compress/zstd_compress.c,32,12,35,44,thirdparty/zstd/compress/zstd_compress.c,48,12,35,95
thirdparty/jolt_physics/jolt/physics/constraints/sixdofconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/SixDOFConstraint.c,0,4,39,4,thirdparty/jolt_physics/Jolt/Physics/Constraints/SixDOFConstraint.c,0,4,39,43
thirdparty/icu4c/common/bytestriebuilder.c,thirdparty/icu4c/common/bytestriebuilder.c,0,4,4,4,thirdparty/icu4c/common/bytestriebuilder.c,1,4,4,9
thirdparty/jolt_physics/jolt/renderer/debugrendererrecorder.c,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererRecorder.c,14,7,18,21,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererRecorder.c,21,7,18,46
editor/shader_globals_editor.c,editor/shader_globals_editor.c,12,6,28,18,editor/shader_globals_editor.c,12,6,28,46
modules/jolt_physics/objects/jolt_soft_body_3d.c,modules/jolt_physics/objects/jolt_soft_body_3d.c,4,12,39,16,modules/jolt_physics/objects/jolt_soft_body_3d.c,7,12,39,58
scene/resources/2d/skeleton/skeleton_modification_2d.c,scene/resources/2d/skeleton/skeleton_modification_2d.c,4,1,22,5,scene/resources/2d/skeleton/skeleton_modification_2d.c,5,1,22,28
editor/scene_tree_dock.c,editor/scene_tree_dock.c,68,113,281,181,editor/scene_tree_dock.c,68,113,281,462
platform/android/export/export_plugin.c,platform/android/export/export_plugin.c,22,25,142,47,platform/android/export/export_plugin.c,22,25,142,189
scene/gui/tab_bar.c,scene/gui/tab_bar.c,15,12,51,27,scene/gui/tab_bar.c,20,12,49,81
editor/plugins/navigation_polygon_editor_plugin.c,editor/plugins/navigation_polygon_editor_plugin.c,17,2,8,19,editor/plugins/navigation_polygon_editor_plugin.c,17,2,8,27
modules/godot_physics_3d/joints/godot_pin_joint_3d.c,modules/godot_physics_3d/joints/godot_pin_joint_3d.c,0,4,12,4,modules/godot_physics_3d/joints/godot_pin_joint_3d.c,2,4,12,18
editor/editor_help_search.c,editor/editor_help_search.c,39,41,126,80,editor/editor_help_search.c,39,41,126,206
editor/import_dock.c,editor/import_dock.c,21,31,104,52,editor/import_dock.c,21,31,104,156
scene/2d/cpu_particles_2d.c,scene/2d/cpu_particles_2d.c,25,12,59,37,scene/2d/cpu_particles_2d.c,34,12,59,105
editor/debugger/debug_adapter/debug_adapter_protocol.c,editor/debugger/debug_adapter/debug_adapter_protocol.c,23,69,101,92,editor/debugger/debug_adapter/debug_adapter_protocol.c,26,69,101,196
modules/godot_physics_2d/godot_body_2d.c,modules/godot_physics_2d/godot_body_2d.c,0,1,24,1,modules/godot_physics_2d/godot_body_2d.c,3,1,24,28
thirdparty/jolt_physics/jolt/physics/collision/shape/taperedcylindershape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/TaperedCylinderShape.c,0,3,6,3,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/TaperedCylinderShape.c,0,3,6,9
editor/gui/editor_bottom_panel.c,editor/gui/editor_bottom_panel.c,10,17,23,27,editor/gui/editor_bottom_panel.c,10,17,23,50
thirdparty/misc/qoa.c,thirdparty/misc/qoa.c,0,1,13,1,thirdparty/misc/qoa.c,1,1,13,15
thirdparty/recastnavigation/recast/source/recastmeshdetail.c,thirdparty/recastnavigation/Recast/Source/RecastMeshDetail.c,3,7,46,10,thirdparty/recastnavigation/Recast/Source/RecastMeshDetail.c,3,7,46,56
servers/audio_server.c,servers/audio_server.c,20,71,155,91,servers/audio_server.c,29,69,148,246
thirdparty/glslang/glslang/machineindependent/scan.c,thirdparty/glslang/glslang/MachineIndependent/Scan.c,2,22,38,24,thirdparty/glslang/glslang/MachineIndependent/Scan.c,2,22,38,62
modules/csg/csg_shape.c,modules/csg/csg_shape.c,21,23,85,44,modules/csg/csg_shape.c,21,23,85,129
modules/godot_physics_3d/godot_shape_3d.c,modules/godot_physics_3d/godot_shape_3d.c,17,28,76,45,modules/godot_physics_3d/godot_shape_3d.c,32,28,76,136
thirdparty/jolt_physics/jolt/physics/collision/shape/cylindershape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CylinderShape.c,3,1,6,4,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CylinderShape.c,3,1,6,10
editor/plugins/node_3d_editor_plugin.c,editor/plugins/node_3d_editor_plugin.c,52,129,363,181,editor/plugins/node_3d_editor_plugin.c,52,129,363,544
modules/gltf/skin_tool.c,modules/gltf/skin_tool.c,22,53,118,75,modules/gltf/skin_tool.c,23,53,118,194
editor/export/editor_export_plugin.c,editor/export/editor_export_plugin.c,3,5,33,8,editor/export/editor_export_plugin.c,7,5,33,45
modules/godot_physics_2d/godot_shape_2d.c,modules/godot_physics_2d/godot_shape_2d.c,11,22,59,33,modules/godot_physics_2d/godot_shape_2d.c,14,22,59,95
core/variant/dictionary.c,core/variant/dictionary.c,10,28,86,38,core/variant/dictionary.c,85,28,86,199
scene/gui/rich_text_label.c,scene/gui/rich_text_label.c,37,56,200,93,scene/gui/rich_text_label.c,37,56,200,293
editor/plugins/tiles/tile_set_editor.c,editor/plugins/tiles/tile_set_editor.c,23,37,64,60,editor/plugins/tiles/tile_set_editor.c,23,37,64,124
thirdparty/mbedtls/library/ripemd160.c,thirdparty/mbedtls/library/ripemd160.c,3,0,3,3,thirdparty/mbedtls/library/ripemd160.c,5,0,3,8
thirdparty/jolt_physics/jolt/physics/physicsscene.c,thirdparty/jolt_physics/Jolt/Physics/PhysicsScene.c,18,15,40,33,thirdparty/jolt_physics/Jolt/Physics/PhysicsScene.c,18,15,40,73
thirdparty/icu4c/common/utrie2_builder.c,thirdparty/icu4c/common/utrie2_builder.c,4,7,41,11,thirdparty/icu4c/common/utrie2_builder.c,16,7,41,64
editor/event_listener_line_edit.c,editor/event_listener_line_edit.c,6,4,19,10,editor/event_listener_line_edit.c,7,4,19,30
editor/plugins/gizmos/gizmo_3d_helper.c,editor/plugins/gizmos/gizmo_3d_helper.c,0,0,2,0,editor/plugins/gizmos/gizmo_3d_helper.c,2,0,2,4
thirdparty/openxr/src/common/object_info.c,thirdparty/openxr/src/common/object_info.c,6,8,22,14,thirdparty/openxr/src/common/object_info.c,7,8,22,37
thirdparty/jolt_physics/jolt/physics/body/body.c,thirdparty/jolt_physics/Jolt/Physics/Body/Body.c,0,1,5,1,thirdparty/jolt_physics/Jolt/Physics/Body/Body.c,3,1,5,9
thirdparty/embree/kernels/common/state.c,thirdparty/embree/kernels/common/state.c,2,5,29,7,thirdparty/embree/kernels/common/state.c,19,5,29,53
scene/gui/box_container.c,scene/gui/box_container.c,7,6,16,13,scene/gui/box_container.c,11,6,16,33
scene/resources/material.c,scene/resources/material.c,19,39,137,58,scene/resources/material.c,22,39,137,198
thirdparty/libwebp/src/enc/picture_tools_enc.c,thirdparty/libwebp/src/enc/picture_tools_enc.c,0,2,25,2,thirdparty/libwebp/src/enc/picture_tools_enc.c,1,2,25,28
core/math/color.c,core/math/color.c,0,1,15,1,core/math/color.c,2,1,14,17
modules/gltf/structures/gltf_animation.c,modules/gltf/structures/gltf_animation.c,4,0,17,4,modules/gltf/structures/gltf_animation.c,5,0,17,22
thirdparty/rvo2/rvo2_3d/agent3d.c,thirdparty/rvo2/rvo2_3d/Agent3d.c,0,1,10,1,thirdparty/rvo2/rvo2_3d/Agent3d.c,1,1,10,12
modules/openxr/editor/openxr_action_editor.c,modules/openxr/editor/openxr_action_editor.c,8,6,15,14,modules/openxr/editor/openxr_action_editor.c,8,6,15,29
thirdparty/jolt_physics/jolt/physics/collision/shape/heightfieldshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/HeightFieldShape.c,79,49,194,128,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/HeightFieldShape.c,73,46,185,304
thirdparty/libwebp/src/demux/demux.c,thirdparty/libwebp/src/demux/demux.c,1,7,4,8,thirdparty/libwebp/src/demux/demux.c,2,7,4,13
thirdparty/libwebp/src/demux/anim_decode.c,thirdparty/libwebp/src/demux/anim_decode.c,0,0,5,0,thirdparty/libwebp/src/demux/anim_decode.c,2,0,5,7
editor/group_settings_editor.c,editor/group_settings_editor.c,12,24,88,36,editor/group_settings_editor.c,12,24,88,124
thirdparty/etcpak/processrgb.c,thirdparty/etcpak/ProcessRGB.c,3,18,85,21,thirdparty/etcpak/ProcessRGB.c,6,18,85,109
thirdparty/embree/kernels/common/rtcore.c,thirdparty/embree/kernels/common/rtcore.c,0,8,12,8,thirdparty/embree/kernels/common/rtcore.c,5,8,12,25
modules/fbx/register_types.c,modules/fbx/register_types.c,6,11,36,17,modules/fbx/register_types.c,6,11,36,53
editor/plugins/shader_editor_plugin.c,editor/plugins/shader_editor_plugin.c,24,37,50,61,editor/plugins/shader_editor_plugin.c,24,37,50,111
servers/rendering/renderer_rd/effects/debug_effects.c,servers/rendering/renderer_rd/effects/debug_effects.c,5,8,34,13,servers/rendering/renderer_rd/effects/debug_effects.c,6,8,34,48
modules/fbx/editor/editor_scene_importer_ufbx.c,modules/fbx/editor/editor_scene_importer_ufbx.c,10,12,37,22,modules/fbx/editor/editor_scene_importer_ufbx.c,12,12,37,61
core/object/class_db.c,core/object/class_db.c,21,137,436,158,core/object/class_db.c,22,137,436,595
scene/gui/panel_container.c,scene/gui/panel_container.c,6,2,7,8,scene/gui/panel_container.c,8,2,7,17
scene/gui/slider.c,scene/gui/slider.c,6,4,14,10,scene/gui/slider.c,9,4,14,27
thirdparty/rvo2/rvo2_2d/agent2d.c,thirdparty/rvo2/rvo2_2d/Agent2d.c,0,0,14,0,thirdparty/rvo2/rvo2_2d/Agent2d.c,1,0,14,15
thirdparty/libogg/framing.c,thirdparty/libogg/framing.c,2,3,11,5,thirdparty/libogg/framing.c,4,3,11,18
servers/rendering/dummy/storage/mesh_storage.c,servers/rendering/dummy/storage/mesh_storage.c,3,5,20,8,servers/rendering/dummy/storage/mesh_storage.c,9,5,20,34
core/math/projection.c,core/math/projection.c,0,0,16,0,core/math/projection.c,12,0,16,28
core/extension/extension_api_dump.c,core/extension/extension_api_dump.c,39,35,158,74,core/extension/extension_api_dump.c,42,35,158,235
thirdparty/jolt_physics/jolt/physics/constraints/contactconstraintmanager.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/ContactConstraintManager.c,15,27,138,42,thirdparty/jolt_physics/Jolt/Physics/Constraints/ContactConstraintManager.c,15,27,138,180
thirdparty/glslang/spirv/glslangtospv.c,thirdparty/glslang/SPIRV/GlslangToSpv.c,46,112,210,158,thirdparty/glslang/SPIRV/GlslangToSpv.c,47,112,210,369
servers/movie_writer/movie_writer_mjpeg.c,servers/movie_writer/movie_writer_mjpeg.c,3,0,6,3,servers/movie_writer/movie_writer_mjpeg.c,6,0,6,12
core/debugger/debugger_marshalls.c,core/debugger/debugger_marshalls.c,6,2,12,8,core/debugger/debugger_marshalls.c,8,2,12,22
modules/dds/texture_loader_dds.c,modules/dds/texture_loader_dds.c,3,1,26,4,modules/dds/texture_loader_dds.c,4,1,26,31
editor/plugins/text_editor.c,editor/plugins/text_editor.c,17,9,21,26,editor/plugins/text_editor.c,17,9,21,47
scene/3d/audio_stream_player_3d.c,scene/3d/audio_stream_player_3d.c,5,8,47,13,scene/3d/audio_stream_player_3d.c,6,8,47,61
thirdparty/vhacd/src/vhacdvolume.c,thirdparty/vhacd/src/vhacdVolume.c,2,11,93,13,thirdparty/vhacd/src/vhacdVolume.c,7,11,93,111
editor/plugins/light_occluder_2d_editor_plugin.c,editor/plugins/light_occluder_2d_editor_plugin.c,12,0,1,12,editor/plugins/light_occluder_2d_editor_plugin.c,12,0,1,13
editor/import_defaults_editor.c,editor/import_defaults_editor.c,12,16,51,28,editor/import_defaults_editor.c,12,16,51,79
editor/audio_stream_preview.c,editor/audio_stream_preview.c,5,9,23,14,editor/audio_stream_preview.c,8,9,23,40
editor/import/3d/editor_import_collada.c,editor/import/3d/editor_import_collada.c,27,72,406,99,editor/import/3d/editor_import_collada.c,27,72,406,505
thirdparty/zstd/decompress/huf_decompress.c,thirdparty/zstd/decompress/huf_decompress.c,35,2,102,37,thirdparty/zstd/decompress/huf_decompress.c,46,2,102,150
scene/animation/animation_node_state_machine.c,scene/animation/animation_node_state_machine.c,22,85,197,107,scene/animation/animation_node_state_machine.c,21,85,197,303
editor/project_settings_editor.c,editor/project_settings_editor.c,20,23,68,43,editor/project_settings_editor.c,20,23,68,111
thirdparty/embree/common/lexers/stringstream.c,thirdparty/embree/common/lexers/stringstream.c,2,2,6,4,thirdparty/embree/common/lexers/stringstream.c,3,2,6,11
editor/plugins/editor_preview_plugins.c,editor/plugins/editor_preview_plugins.c,15,4,35,19,editor/plugins/editor_preview_plugins.c,18,4,34,56
thirdparty/freetype/src/sdf/sdf.c,thirdparty/freetype/src/sdf/sdf.c,2,5,36,7,thirdparty/freetype/src/sdf/sdf.c,4,5,36,45
thirdparty/jolt_physics/jolt/physics/vehicle/vehicleconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleConstraint.c,11,9,16,20,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleConstraint.c,11,9,16,36
thirdparty/misc/smolv.c,thirdparty/misc/smolv.c,7,6,70,13,thirdparty/misc/smolv.c,8,6,70,84
servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,6,18,94,24,servers/rendering/renderer_rd/forward_mobile/scene_shader_forward_mobile.c,10,18,93,121
thirdparty/libwebp/src/dsp/enc_sse2.c,thirdparty/libwebp/src/dsp/enc_sse2.c,3,0,44,3,thirdparty/libwebp/src/dsp/enc_sse2.c,26,0,44,70
thirdparty/jolt_physics/jolt/physics/collision/broadphase/quadtree.c,thirdparty/jolt_physics/Jolt/Physics/Collision/BroadPhase/QuadTree.c,4,10,49,14,thirdparty/jolt_physics/Jolt/Physics/Collision/BroadPhase/QuadTree.c,15,10,49,74
servers/rendering/renderer_rd/environment/gi.c,servers/rendering/renderer_rd/environment/gi.c,17,27,147,44,servers/rendering/renderer_rd/environment/gi.c,17,27,147,191
thirdparty/manifold/src/polygon.c,thirdparty/manifold/src/polygon.c,18,36,59,54,thirdparty/manifold/src/polygon.c,18,36,59,113
modules/gdscript/language_server/gdscript_extend_parser.c,modules/gdscript/language_server/gdscript_extend_parser.c,16,18,102,34,modules/gdscript/language_server/gdscript_extend_parser.c,26,18,102,146
editor/plugins/navigation_obstacle_2d_editor_plugin.c,editor/plugins/navigation_obstacle_2d_editor_plugin.c,12,0,14,12,editor/plugins/navigation_obstacle_2d_editor_plugin.c,12,0,14,26
scene/resources/style_box.c,scene/resources/style_box.c,4,2,22,6,scene/resources/style_box.c,6,2,22,30
editor/editor_audio_buses.c,editor/editor_audio_buses.c,30,59,172,89,editor/editor_audio_buses.c,30,59,172,261
thirdparty/libpng/intel/filter_sse2_intrinsics.c,thirdparty/libpng/intel/filter_sse2_intrinsics.c,0,0,6,0,thirdparty/libpng/intel/filter_sse2_intrinsics.c,4,0,6,10
thirdparty/jolt_physics/jolt/physics/collision/shape/scaledshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,0,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/ScaledShape.c,0,0,3,3
servers/rendering/renderer_rd/effects/tone_mapper.c,servers/rendering/renderer_rd/effects/tone_mapper.c,3,6,29,9,servers/rendering/renderer_rd/effects/tone_mapper.c,4,6,29,39
editor/debugger/debug_adapter/debug_adapter_parser.c,editor/debugger/debug_adapter/debug_adapter_parser.c,3,4,11,7,editor/debugger/debug_adapter/debug_adapter_parser.c,3,4,11,18
servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,23,106,274,129,servers/rendering/renderer_rd/forward_clustered/render_forward_clustered.c,23,106,274,403
scene/3d/skeleton_modifier_3d.c,scene/3d/skeleton_modifier_3d.c,4,3,15,7,scene/3d/skeleton_modifier_3d.c,4,3,15,22
editor/plugins/plugin_config_dialog.c,editor/plugins/plugin_config_dialog.c,16,4,13,20,editor/plugins/plugin_config_dialog.c,16,4,13,33
thirdparty/jolt_physics/jolt/trianglesplitter/trianglesplittermean.c,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMean.c,0,0,2,0,thirdparty/jolt_physics/Jolt/TriangleSplitter/TriangleSplitterMean.c,1,0,2,3
thirdparty/freetype/src/bdf/bdf.c,thirdparty/freetype/src/bdf/bdf.c,0,13,22,13,thirdparty/freetype/src/bdf/bdf.c,11,13,22,46
thirdparty/libwebp/src/enc/vp8l_enc.c,thirdparty/libwebp/src/enc/vp8l_enc.c,13,5,37,18,thirdparty/libwebp/src/enc/vp8l_enc.c,18,5,37,60
editor/plugins/path_3d_editor_plugin.c,editor/plugins/path_3d_editor_plugin.c,17,12,40,29,editor/plugins/path_3d_editor_plugin.c,17,12,40,69
thirdparty/manifold/src/manifold.c,thirdparty/manifold/src/manifold.c,9,38,90,47,thirdparty/manifold/src/manifold.c,9,38,90,137
core/input/input_event.c,core/input/input_event.c,25,2,54,27,core/input/input_event.c,25,2,54,81
editor/editor_script.c,editor/editor_script.c,3,0,5,3,editor/editor_script.c,4,0,5,9
scene/resources/shader_include.c,scene/resources/shader_include.c,7,4,18,11,scene/resources/shader_include.c,7,4,18,29
thirdparty/clipper2/src/clipper.rectclip.c,thirdparty/clipper2/src/clipper.rectclip.c,6,19,38,25,thirdparty/clipper2/src/clipper.rectclip.c,8,19,38,65
editor/plugins/curve_editor_plugin.c,editor/plugins/curve_editor_plugin.c,21,7,37,28,editor/plugins/curve_editor_plugin.c,21,7,37,65
editor/gui/editor_zoom_widget.c,editor/gui/editor_zoom_widget.c,11,2,11,13,editor/gui/editor_zoom_widget.c,11,2,11,24
scene/gui/aspect_ratio_container.c,scene/gui/aspect_ratio_container.c,7,1,13,8,scene/gui/aspect_ratio_container.c,8,1,13,22
editor/editor_help.c,editor/editor_help.c,56,91,296,147,editor/editor_help.c,56,91,296,443
editor/dependency_editor.c,editor/dependency_editor.c,27,33,108,60,editor/dependency_editor.c,27,33,108,168
core/string/optimized_translation.c,core/string/optimized_translation.c,5,17,50,22,core/string/optimized_translation.c,8,17,50,75
editor/editor_feature_profile.c,editor/editor_feature_profile.c,35,50,130,85,editor/editor_feature_profile.c,35,50,130,215
thirdparty/zlib/crc32.c,thirdparty/zlib/crc32.c,2,2,19,4,thirdparty/zlib/crc32.c,3,2,19,24
thirdparty/freetype/src/truetype/truetype.c,thirdparty/freetype/src/truetype/truetype.c,21,21,117,42,thirdparty/freetype/src/truetype/truetype.c,26,21,117,164
core/extension/gdextension.c,core/extension/gdextension.c,21,44,140,65,core/extension/gdextension.c,23,44,140,207
thirdparty/embree/common/sys/sysinfo.c,thirdparty/embree/common/sys/sysinfo.c,2,0,6,2,thirdparty/embree/common/sys/sysinfo.c,2,0,6,8
thirdparty/jolt_physics/jolt/physics/constraints/swingtwistconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/SwingTwistConstraint.c,0,1,14,1,thirdparty/jolt_physics/Jolt/Physics/Constraints/SwingTwistConstraint.c,0,1,14,15
thirdparty/embree/kernels/common/stat.c,thirdparty/embree/kernels/common/stat.c,16,0,11,16,thirdparty/embree/kernels/common/stat.c,8,0,11,19
editor/plugins/asset_library_editor_plugin.c,editor/plugins/asset_library_editor_plugin.c,32,34,87,66,editor/plugins/asset_library_editor_plugin.c,32,34,87,153
modules/gltf/extensions/physics/gltf_physics_shape.c,modules/gltf/extensions/physics/gltf_physics_shape.c,7,0,17,7,modules/gltf/extensions/physics/gltf_physics_shape.c,8,0,17,25
